id	name	x	y	w	h
92:17095	Index	0	220	1440	1358
17:4106	V2 States and motion	1600	220	1440	1330
17:3588	V2 Log in	0	2198	1440	900
66:2	V2 Log in	1600	2198	1440	900
66:39	V2 Log in	3200	2198	1440	900
87:8556	V2 Log in	4800	2198	1440	900
17:3619	V2 Log in	6400	2198	1440	900
17:3650	V2 Log in	8000	2198	1440	900
17:3681	V2 Log in	9600	2198	1440	900
17:3712	V2 Log in	11200	2198	1440	900
90:15121	V2 Log in	0	3258	1440	900
66:61	V2 Error · 404	1600	3258	1440	900
66:81	V2 Error · 404	3200	3258	1440	900
17:3744	V2 Onboarding · Account and plan	0	4778	1440	900
17:3818	V2 Onboarding · Account and plan	1600	4778	1440	900
42:4219	V2 Onboarding · Account and plan	3200	4778	1440	900
42:4291	V2 Onboarding · Account and plan	4800	4778	1440	900
42:4363	V2 Onboarding · Account and plan	6400	4778	1440	900
90:14966	V2 Onboarding · Account and plan	8000	4778	1440	900
42:4435	V2 Onboarding · Account and plan	9600	4778	1440	900
70:9	V2 Onboarding · Account and plan	11200	4778	1440	900
90:15049	V2 Onboarding · Account and plan	0	5838	1440	900
87:10073	V2 Onboarding · Account and plan	1600	5838	1440	963
17:3890	V2 Onboarding · Account and plan	3200	5838	1440	900
42:4579	V2 Onboarding · Account and plan	4800	5838	1440	1030
74:572	V2 Onboarding · Account and plan	6400	5838	1440	900
87:8258	V2 Onboarding · Account and plan	8000	5838	1440	1032
17:3962	V2 Onboarding · Account and plan	9600	5838	1440	900
42:4507	V2 Onboarding · Account and plan	11200	5838	1440	900
70:81	V2 Onboarding · Account and plan	0	7030	1440	900
87:8342	V2 Onboarding · Account and plan	1600	7030	1440	926
87:10206	V2 Onboarding · Account and plan	3200	7030	1440	926
89:14326	V2 Onboarding · Account and plan	4800	7030	1440	900
42:4670	V2 Onboarding · Account and plan	6400	7030	1440	1180
87:10824	V2 Onboarding · Account and plan	8000	7030	1440	1127
17:4034	V2 Onboarding · Account and plan	9600	7030	1440	1063
81:3400	V2 Onboarding · Account and plan	11200	7030	1440	1063
74:982	V2 Onboarding · Account and plan	0	8370	1440	900
87:8453	V2 Dashboard · Desktop 1440	1600	8370	1440	900
17:3483	V2 Dashboard · Desktop 1440	3200	8370	1440	720
17:2048	V2 Dashboard · Desktop 1440	0	9890	1440	1080
42:4772	V2 Dashboard · Desktop 1440	1600	9890	1440	1479
